innings_id,match_id,team_id,innings_number,runs,wickets,overs,is_declared
485,56717,13,4,61,1,7.3,0
486,56724,3,2,408,10,133.0,0
487,56724,3,4,304,9,90.0,0
488,56724,13,1,449,10,131.0,0
489,56724,13,3,277,5,82.0,1
490,56726,3,2,258,4,48.1,0
491,56726,13,1,255,9,50.0,0
492,56733,3,2,182,10,43.0,0
493,56733,13,1,261,10,49.5,0
494,56740,3,1,280,9,50.0,0
495,56740,13,2,281,8,48.1,0
496,59951,2,1,162,5,20.0,0
497,59951,5,2,160,10,20.0,0
498,59958,2,2,190,8,20.0,0
499,59958,5,1,206,6,20.0,0
500,59960,2,1,228,5,20.0,0
501,59960,5,2,137,10,16.4,0
502,59965,2,1,373,7,50.0,0
503,59965,5,2,306,8,50.0,0
504,59972,2,2,219,6,43.2,0
505,59972,5,1,215,10,39.4,0
506,59979,2,1,390,5,50.0,0
507,59979,5,2,73,10,22.0,0
508,60063,12,2,118,5,18.0,0
509,60063,27,1,114,10,19.2,0
510,60070,12,1,144,10,20.0,0
511,60070,27,2,150,4,19.4,0
512,60072,12,2,144,6,19.0,0
513,60072,27,1,141,9,20.0,0
514,60079,12,2,214,7,37.0,0
515,60079,27,1,288,4,50.0,0
516,60084,12,2,248,10,47.3,0
517,60084,27,1,294,7,50.0,0
518,60086,12,1,55,1,13.0,0
519,59981,2,1,349,8,50.0,0
520,59981,13,2,337,10,49.2,0
521,59986,2,2,111,2,20.1,0
522,59986,13,1,108,10,34.3,0
523,59988,2,1,385,9,50.0,0
524,59988,13,2,295,10,41.2,0
525,59995,2,2,155,9,20.0,0
526,59995,13,1,176,6,20.0,0
527,60000,2,2,101,4,19.5,0
528,60000,13,1,99,8,20.0,0
529,60007,2,1,234,4,20.0,0
530,60007,13,2,66,10,12.1,0
531,56164,11,1,298,7,50.0,0
532,56164,9,2,271,10,44.2,0
533,56171,11,2,347,5,49.1,0
534,56171,9,1,342,7,50.0,0
535,56178,11,2,287,10,43.1,0
536,56178,9,1,346,7,50.0,0
537,60765,269,2,122,10,56.3,0
538,60765,10,1,517,10,132.5,0
539,60765,10,3,82,2,27.1,0
540,60772,12,2,379,9,125.0,1
541,60772,12,4,134,6,54.0,0
542,60772,10,1,447,6,143.0,1
543,60772,10,3,203,5,60.0,1
544,60777,12,1,115,10,40.5,0
545,60777,12,3,173,10,47.3,0
546,60777,10,2,292,10,92.3,0
547,65336,286,2,310,10,82.1,0
548,65336,9,1,465,10,69.2,0
549,49556,13,2,306,10,82.5,0
550,49556,13,4,126,10,45.3,0
551,49556,9,1,325,9,58.2,1
552,49556,9,3,374,10,73.5,0
553,49563,13,2,209,10,53.2,0
554,49563,13,3,483,10,162.3,0
555,49563,9,1,435,8,87.1,1
556,49563,9,4,256,10,74.2,0
557,60009,2,2,400,10,139.3,0
558,60009,4,1,177,10,63.5,0
559,60009,4,3,91,10,32.3,0
560,60016,2,2,262,10,83.3,0
561,60016,2,4,118,4,26.4,0
562,60016,4,1,263,10,78.4,0
563,60016,4,3,113,10,31.1,0
564,60023,2,1,109,10,33.2,0
565,60023,2,3,163,10,60.3,0
566,60023,4,2,197,10,76.3,0
567,60023,4,4,78,1,18.5,0
568,60028,2,2,571,10,178.5,0
569,60028,4,1,480,10,167.2,0
570,60028,4,3,175,2,78.1,1
571,60035,2,2,191,5,39.5,0
572,60035,4,1,188,10,35.4,0
573,60037,2,1,117,10,26.0,0
574,60037,4,2,121,NULL,11.0,0
575,60042,2,2,248,10,49.1,0
576,60042,4,1,269,10,49.0,0
577,65781,267,2,317,10,78.5,0
578,65781,10,1,283,9,89.0,1
579,65781,10,3,208,8,49.0,0
580,56185,11,1,342,10,86.3,0
581,56185,11,3,116,10,28.0,0
582,56185,10,2,212,10,69.0,0
583,56185,10,4,159,10,41.0,0
584,56192,11,1,320,10,92.2,0
585,56192,11,3,321,10,100.4,0
586,56192,10,2,251,10,79.3,0
587,56192,10,4,106,10,35.1,0
588,56206,11,2,287,10,41.4,0
589,56206,10,1,335,8,50.0,0
590,56208,11,2,264,6,29.3,0
591,56208,10,1,260,10,48.2,0
592,56213,11,1,131,8,11.0,0
593,56213,10,2,132,7,10.3,0
594,56215,11,2,259,4,18.5,0
595,56215,10,1,258,5,20.0,0
596,56222,11,2,213,6,20.0,0
597,56222,10,1,220,8,20.0,0
598,60842,6,1,209,10,47.2,0
599,60842,9,2,212,7,48.4,0
600,60849,6,2,194,10,44.4,0
601,60849,9,1,326,7,50.0,0
602,60856,6,1,246,10,48.5,0
603,60856,9,2,196,10,43.1,0
604,60863,6,2,158,4,18.0,0
605,60863,9,1,156,6,20.0,0
606,60868,6,2,120,6,18.5,0
607,60868,9,1,117,10,20.0,0
608,60870,6,1,158,2,20.0,0
609,60870,9,2,142,6,20.0,0
610,65403,286,2,141,1,38.0,0
611,65403,5,1,276,4,57.3,1
612,49570,13,2,373,10,107.3,0
613,49570,13,4,286,8,70.0,0
614,49570,5,1,355,10,92.4,0
615,49570,5,3,302,10,105.3,0
616,49577,13,1,580,4,123.0,1
617,49577,5,2,164,10,66.5,0
618,49577,5,3,358,10,142.0,0
619,49584,13,1,274,10,49.3,0
620,49584,5,2,76,10,19.5,0
621,49593,13,2,159,4,32.5,0
622,49593,5,1,157,10,41.3,0
623,49600,13,2,196,8,20.0,0
624,49600,5,1,196,5,20.0,0
625,49607,13,2,146,1,14.4,0
626,49607,5,1,141,10,19.0,0
627,49614,13,2,183,6,19.5,0
628,49614,5,1,182,6,20.0,0
629,65784,323,2,181,10,32.1,0
630,65784,27,1,255,7,40.0,0
631,62799,6,1,338,8,50.0,0
632,62799,27,2,155,10,30.5,0
633,62802,6,1,349,6,50.0,0
634,62813,6,2,102,NULL,13.1,0
635,62813,27,1,101,10,28.1,0
636,62827,6,1,207,5,19.2,0
637,62827,27,2,81,5,8.0,0
638,62834,6,1,202,3,17.0,0
639,62834,27,2,125,9,17.0,0
640,62837,6,1,124,10,19.2,0
641,62837,27,2,126,3,14.0,0
642,62841,6,2,369,10,80.3,0
643,62841,6,4,138,3,27.1,0
644,62841,27,1,214,10,77.2,0
645,62841,27,3,292,10,116.0,0
646,66908,96,2,98,4,17.5,0
