id,teamId,teamName,teamSName,countryName,category,playerId,playerName,battingStyle,bowlingStyle,role
53,96,Afghanistan,AFG,Afghanistan,"Test Teams",22956,"Nangeyalia Kharote","Left-hand bat","Left-arm orthodox","ALL ROUNDER"
54,96,Afghanistan,AFG,Afghanistan,"Test Teams",11077,"Karim Janat","Right-hand bat","Right-arm fast-medium","ALL ROUNDER"
55,96,Afghanistan,AFG,Afghanistan,"Test Teams",47000,"Zubaid Akbari","Left-hand bat","Left-arm orthodox","ALL ROUNDER"
56,96,Afghanistan,AFG,Afghanistan,"Test Teams",11071,"Ikram Alikhil","Left-hand bat",NULL,"WICKET KEEPER"
57,96,Afghanistan,AFG,Afghanistan,"Test Teams",8278,"Afsar Zazai","Right-hand bat",NULL,"WICKET KEEPER"
58,96,Afghanistan,AFG,Afghanistan,"Test Teams",14195,"Mohammad Ishaq","Right-hand bat",NULL,"WICKET KEEPER"
59,96,Afghanistan,AFG,Afghanistan,"Test Teams",13213,"Rahmanullah Gurbaz","Right-hand bat",NULL,"WICKET KEEPER"
60,96,Afghanistan,AFG,Afghanistan,"Test Teams",10828,"Zahir Khan","Left-hand bat","Left-arm wrist-spin",BOWLER
61,96,Afghanistan,AFG,Afghanistan,"Test Teams",9858,"Zia-ur-Rehman Akbar","Right-hand bat","Left-arm orthodox",BOWLER
62,96,Afghanistan,AFG,Afghanistan,"Test Teams",9609,"Yamin Ahmadzai","Right-hand bat","Right-arm fast-medium",BOWLER
63,96,Afghanistan,AFG,Afghanistan,"Test Teams",23106,"Naveed Zadran","Right-hand bat","Right-arm medium",BOWLER
64,96,Afghanistan,AFG,Afghanistan,"Test Teams",9848,"Fareed Ahmad Malik","Left-hand bat","Left-arm fast-medium",BOWLER
65,96,Afghanistan,AFG,Afghanistan,"Test Teams",36501,"AM Ghazanfar","Right-hand bat","Right-arm offbreak",BOWLER
66,96,Afghanistan,AFG,Afghanistan,"Test Teams",14282,"Fazalhaq Farooqi","Right-hand bat","Left-arm fast-medium",BOWLER
67,96,Afghanistan,AFG,Afghanistan,"Test Teams",22861,"Bilal Sami","Right-hand bat","Right-arm medium",BOWLER
