match_id,innings_id,team_id,team_name,bowler_id,bowler_name,overs,maidens,runs,wickets,economy,no_balls,wides,dots,balls,bowling_position,venue_ground,venue_city,venue,start_date
38602,2,2,India,10945,"Washington Sundar",4,0,17,0,4.2,0,3,0,40,5,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-11 13:30:00"
38602,2,2,India,10808,"Mohammed Siraj",9,1,29,3,3.2,0,2,1,90,2,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-11 13:30:00"
38602,2,2,India,7836,"Deepak Chahar",8,1,41,2,5.1,0,1,1,80,1,"Narendra Modi Stadium",Ahmedabad,"Narendra Modi Stadium, Ahmedabad","2022-02-11 13:30:00"
38607,1,2,India,7910,Chahal,4,0,34,1,8.5,0,1,0,40,4,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-16 19:00:00"
38607,1,2,India,8175,"Harshal Patel",4,0,37,2,9.2,0,3,0,40,3,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-16 19:00:00"
38607,1,2,India,10917,"Venkatesh Iyer",1,0,4,0,4,0,0,0,10,6,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-16 19:00:00"
38607,1,2,India,14659,"Ravi Bishnoi",4,0,17,2,4.2,0,6,0,40,5,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-16 19:00:00"
38607,1,2,India,7836,"D Chahar",3,0,28,1,9.3,0,0,0,30,2,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-16 19:00:00"
38607,1,2,India,1726,Bhuvneshwar,4,0,31,1,7.8,0,1,0,40,1,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-16 19:00:00"
38607,2,10,"West Indies",8435,"Akeal Hosein",4,0,34,0,8.5,0,0,0,40,4,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-16 19:00:00"
38607,2,10,"West Indies",11215,"Odean Smith",2,0,31,0,15.5,0,0,0,20,3,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-16 19:00:00"
38607,2,10,"West Indies",9785,"Fabian Allen",1.5,0,23,1,12.5,0,0,0,15,6,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-16 19:00:00"
38607,2,10,"West Indies",11543,"Roston Chase",4,0,14,2,3.5,0,0,0,40,5,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-16 19:00:00"
38607,2,10,"West Indies",13646,"Romario Shepherd",3,0,24,0,8,0,2,0,30,2,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-16 19:00:00"
38607,2,10,"West Indies",9395,"Sheldon Cottrell",4,0,35,1,8.8,0,1,0,40,1,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-16 19:00:00"
38612,1,10,"West Indies",13646,"Romario Shepherd",3,0,34,1,11.3,0,2,0,30,4,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-18 19:00:00"
38612,1,10,"West Indies",657,Pollard,1,0,14,0,14,0,0,0,10,7,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-18 19:00:00"
38612,1,10,"West Indies",8313,Holder,4,0,45,0,11.2,0,3,0,40,3,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-18 19:00:00"
38612,1,10,"West Indies",11215,"Odean Smith",1,0,10,0,10,0,2,0,10,6,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-18 19:00:00"
38612,1,10,"West Indies",11543,"Roston Chase",4,0,25,3,6.2,0,1,0,40,5,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-18 19:00:00"
38612,1,10,"West Indies",9395,Cottrell,3,1,20,1,6.7,0,1,1,30,2,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-18 19:00:00"
38612,1,10,"West Indies",8435,"Akeal Hosein",4,0,30,0,7.5,2,0,0,40,1,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-18 19:00:00"
38612,2,2,India,8175,"Harshal Patel",4,0,46,0,11.5,0,1,0,40,4,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-18 19:00:00"
38612,2,2,India,7910,"Yuzvendra Chahal",4,0,31,1,7.8,0,2,0,40,3,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-18 19:00:00"
38612,2,2,India,14659,"Ravi Bishnoi",4,0,30,1,7.5,0,3,0,40,5,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-18 19:00:00"
38612,2,2,India,7836,"Deepak Chahar",4,0,40,0,10,0,0,0,40,2,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-18 19:00:00"
38612,2,2,India,1726,"Bhuvneshwar Kumar",4,0,29,1,7.2,0,6,0,40,1,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-18 19:00:00"
38617,1,10,"West Indies",13959,"Hayden Walsh",4,0,30,1,7.5,0,0,0,40,4,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-20 19:00:00"
38617,1,10,"West Indies",11543,"Roston Chase",4,0,23,1,5.8,0,0,0,40,3,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-20 19:00:00"
38617,1,10,"West Indies",9785,"Fabian Allen",1,0,5,0,5,0,0,0,10,6,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-20 19:00:00"
38617,1,10,"West Indies",13750,"Dominic Drakes",3,0,37,1,12.3,0,1,0,30,5,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-20 19:00:00"
38617,1,10,"West Indies",13646,"Romario Shepherd",4,0,50,1,12.5,0,1,0,40,2,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-20 19:00:00"
38617,1,10,"West Indies",8313,Holder,4,0,29,1,7.2,0,2,0,40,1,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-20 19:00:00"
38617,2,2,India,8683,"Shardul Thakur",4,0,33,2,8.2,0,3,0,40,4,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-20 19:00:00"
38617,2,2,India,10917,"Venkatesh Iyer",2.1,0,23,2,10.6,0,0,0,21,3,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-20 19:00:00"
38617,2,2,India,8175,"Harshal Patel",4,0,22,3,5.5,0,1,0,40,6,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-20 19:00:00"
38617,2,2,India,14659,"Ravi Bishnoi",4,0,29,0,7.2,0,2,0,40,5,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-20 19:00:00"
38617,2,2,India,9781,"Avesh Khan",4,0,42,0,10.5,0,1,0,40,2,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-20 19:00:00"
38617,2,2,India,7836,"Deepak Chahar",1.5,0,15,2,8.2,0,0,0,15,1,"Eden Gardens",Kolkata,"Eden Gardens, Kolkata","2022-02-20 19:00:00"
38622,1,5,"Sri Lanka",12688,Embuldeniya,46,3,188,2,4.1,4,0,3,460,4,"Punjab Cricket Association IS Bindra Stadium",Mohali,"Punjab Cricket Association IS Bindra Stadium, Mohali","2022-03-04 09:30:00"
