id,matchDescription,team1,team2,venue,city,date
59,"10th Match","Netherlands Women","Ireland Women",Hazelaarweg,Rotterdam,"2025-08-26 19:15:00"
60,"37th Match","West Delhi Lions","Outer Delhi Warriors","Arun Jaitley Stadium",Delhi,"2025-08-26 19:00:00"
61,"12th Match","Calicut Globstars","Alleppey Ripples","Greenfield International Stadium",Thiruvananthapuram,"2025-08-26 18:45:00"
62,"Group B",Yorkshire,Kent,"St Lawrence Ground",Canterbury,"2025-08-26 15:30:00"
63,"Group B",Lancashire,Middlesex,"Emirates Old Trafford",Manchester,"2025-08-26 15:30:00"
64,"Group A",Leicestershire,Glamorgan,"Sophia Gardens",Cardiff,"2025-08-26 15:30:00"
65,"Group A",Essex,Derbyshire,"County Ground",Derby,"2025-08-26 15:30:00"
66,"Group A",Surrey,Worcestershire,"New Road",Worcester,"2025-08-26 15:30:00"
67,"Group B",Sussex,Warwickshire,Edgbaston,Birmingham,"2025-08-26 15:30:00"
68,"Group B",Northamptonshire,Somerset,"The Cooper Associates County Ground",Taunton,"2025-08-26 15:30:00"
69,"Group A",Gloucestershire,Hampshire,"County Ground",Bristol,"2025-08-26 15:30:00"
70,"Qualifier 1","Hubli Tigers","Mangalore Dragons","Srikantadatta Narasimha Raja Wadeyar Ground",Mysore,"2025-08-26 15:15:00"
71,"18th Match","Noida Kings","Lucknow Falcons","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"2025-08-26 15:00:00"
72,"11th Match","Kochi Blue Tigers","Thrissur Titans","Greenfield International Stadium",Thiruvananthapuram,"2025-08-26 14:30:00"
73,"9th Match","Germany Women","Italy Women",Hazelaarweg,Rotterdam,"2025-08-26 14:30:00"
74,"36th Match","South Delhi Superstarz","North Delhi Strikers","Arun Jaitley Stadium",Delhi,"2025-08-26 14:00:00"
75,"29th Match","London Spirit","Oval Invincibles","Kennington Oval",London,"2025-08-25 23:00:00"
76,"17th Match","Gaur Gorakhapur Lions","Kashi Rudras","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",Lucknow,"2025-08-25 19:30:00"
77,"29th Match","Oval Invincibles Women","London Spirit Women","Kennington Oval",London,"2025-08-25 19:30:00"
78,"30th Match","Mangalore Dragons","Gulbarga Mystics","Srikantadatta Narasimha Raja Wadeyar Ground",Mysore,"2025-08-25 19:15:00"
