teamId,teamName,teamSName,countryName,category,playerId,playerName,battingStyle,bowlingStyle,role,Matches_Test_bat,Matches_ODI_bat,Matches_T20_bat,Innings_Test_bat,Innings_ODI_bat,Innings_T20_bat,Runs_Test_bat,Runs_ODI_bat,Runs_T20_bat,Balls_Test_bat,Balls_ODI_bat,Balls_T20_bat,Highest_Test_bat,Highest_ODI_bat,Highest_T20_bat,Average_Test_bat,Average_ODI_bat,Average_T20_bat,SR_Test_bat,SR_ODI_bat,SR_T20_bat,"Not Out_Test_bat","Not Out_ODI_bat","Not Out_T20_bat",Ducks_Test_bat,Ducks_ODI_bat,Ducks_T20_bat,50s_Test_bat,50s_ODI_bat,50s_T20_bat,100s_Test_bat,100s_ODI_bat,100s_T20_bat,Matches_Test_bowl,Matches_ODI_bowl,Matches_T20_bowl,Matches_IPL_bowl,Innings_Test_bowl,Innings_ODI_bowl,Innings_T20_bowl,Balls_Test_bowl,Balls_ODI_bowl,Balls_T20_bowl,Runs_Test_bowl,Runs_ODI_bowl,Runs_T20_bowl,Maidens_Test_bowl,Maidens_ODI_bowl,Maidens_T20_bowl,Wickets_Test_bowl,Wickets_ODI_bowl,Wickets_T20_bowl,Avg_Test_bowl,Avg_ODI_bowl,Avg_T20_bowl,Eco_Test_bowl,Eco_ODI_bowl,Eco_T20_bowl,SR_Test_bowl,SR_ODI_bowl,SR_T20_bowl,5w_Test_bowl,5w_ODI_bowl,5w_T20_bowl
10,"West Indies",WI,"West Indies","Test Teams",1984,"Kraigg Brathwaite","Right-hand bat","Right-arm offbreak",BATSMEN,100,10,0,193,10,0,5950,278,0,14571,483,0,212,78,0,32.51,27.80,0.00,40.84,57.56,0.00,10,0,0,19,0,0,31,1,0,12,0,0,100,10,0,0,76,5,0,2809,152,0,1558,140,0,35,0,0,29,1,0,53.72,140.00,0.00,3.33,5.53,0.00,96.86,152.00,0.00,1,0,0
4,Australia,AUS,Australia,"Test Teams",2250,"Steven Smith","Right-hand bat","Right-arm legbreak",BATSMEN,119,170,67,212,154,55,10477,5800,1094,19517,6669,872,239,164,90,56.03,43.28,24.86,53.69,86.97,125.46,25,20,11,11,8,1,43,35,5,36,12,0,119,170,67,103,62,40,17,1470,1076,291,1008,971,378,28,1,1,19,28,17,53.05,34.68,22.24,4.11,5.41,7.79,77.37,38.43,17.12,0,0,0
9,England,ENG,England,"Test Teams",2258,"Jos Buttler","Right-hand bat",NULL,"WICKET KEEPER",57,191,137,100,164,126,2907,5289,3700,5365,4590,2516,152,162,101,31.95,38.89,35.92,54.19,115.23,147.06,9,28,23,9,15,8,18,27,27,2,11,1,57,191,137,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
96,Afghanistan,AFG,Afghanistan,"Test Teams",3007,"Mohammad Nabi","Right-hand bat","Right-arm offbreak","ALL ROUNDER",3,173,134,6,151,126,33,3655,2246,68,4190,1653,24,136,89,5.50,26.88,22.24,48.53,87.24,135.88,0,15,25,3,6,8,0,17,6,0,2,0,3,173,134,24,5,164,125,546,7960,2296,254,5706,2777,17,52,5,8,176,101,31.75,32.42,27.50,2.79,4.30,7.26,68.25,45.23,22.73,0,1,0
5,"Sri Lanka",SL,"Sri Lanka","Test Teams",6245,"Dinesh Chandimal","Right-hand bat","Right-arm offbreak","WICKET KEEPER",90,157,69,161,142,62,6361,3854,1066,12703,5192,1030,206,111,66,43.27,31.59,19.38,50.08,74.23,103.50,14,20,7,8,11,0,34,24,6,16,4,0,90,157,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
4,Australia,AUS,Australia,"Test Teams",6250,"Mitchell Marsh","Right-hand bat","Right-arm fast-medium","ALL ROUNDER",46,96,73,80,92,70,2083,3000,1799,3700,3150,1323,181,177,92,28.53,37.04,30.49,56.30,95.24,135.98,7,11,11,9,7,3,9,20,10,3,4,0,46,96,73,55,74,70,25,3483,2213,300,2061,2036,387,92,9,0,51,57,17,40.41,35.72,22.76,3.55,5.52,7.74,68.29,38.82,17.65,1,1,0
4,Australia,AUS,Australia,"Test Teams",6258,"Josh Hazlewood","Left-hand bat","Right-arm fast-medium",BOWLER,76,93,55,96,37,12,565,135,29,1281,164,28,39,23,13,11.53,16.88,9.67,44.11,82.32,103.58,47,29,9,12,4,2,0,0,0,0,0,0,76,93,55,39,143,92,55,15423,4840,1258,7144,3856,1594,657,60,7,295,139,73,24.22,27.74,21.84,2.78,4.78,7.60,52.28,34.82,17.23,13,3,0
13,"New Zealand",NZ,"New Zealand","Test Teams",6326,"Kane Williamson","Right-hand bat","Right-arm offbreak",BATSMEN,105,173,93,186,165,90,9276,7236,2575,17913,8853,2094,251,148,95,54.89,48.89,33.01,51.79,81.74,122.98,17,17,12,11,5,4,37,47,18,33,15,0,105,173,93,79,67,65,12,2151,1467,118,1207,1310,164,48,2,0,30,37,6,40.23,35.41,27.33,3.37,5.36,8.34,71.70,39.65,19.67,0,0,0
27,Ireland,IRE,Ireland,"Test Teams",6329,"George Dockrell","Right-hand bat","Left-arm orthodox","ALL ROUNDER",2,133,144,4,94,95,98,1459,1194,257,1792,910,39,91,58,24.50,22.45,19.90,38.14,81.42,131.21,0,29,35,0,6,8,0,6,2,0,0,0,2,133,144,0,3,110,93,369,4871,1598,233,3985,1905,11,31,1,3,111,83,77.67,35.90,22.95,3.79,4.91,7.15,123.00,43.88,19.25,0,0,0
12,Zimbabwe,ZIM,Zimbabwe,"Test Teams",6334,"Craig Ervine","Left-hand bat","Right-arm offbreak",BATSMEN,30,128,71,60,124,70,1926,3600,1449,3922,4695,1370,160,130,70,33.79,33.03,21.95,49.11,76.68,105.77,3,15,4,2,11,5,7,23,9,4,4,0,30,128,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
