match_id,innings_id,team_id,team_name,player_id,player_name,runs,balls,fours,sixes,strike_rate,position,out_desc,is_captain,is_keeper,start_date
38602,1,2,India,9428,"Shreyas Iyer",80,111,9,0,72.07,4,"c DM Bravo b Hayden Walsh",0,0,"2022-02-11 13:30:00"
38602,1,2,India,10744,Pant,56,54,6,1,103.7,5,"c Shai Hope b Hayden Walsh",0,1,"2022-02-11 13:30:00"
38602,1,2,India,7915,"Suryakumar Yadav",6,7,1,0,85.71,6,"c Shamarh Brooks b Fabian Allen",0,0,"2022-02-11 13:30:00"
38602,1,2,India,10945,"Washington Sundar",33,34,2,1,97.06,7,"c Odean Smith b Holder",0,0,"2022-02-11 13:30:00"
38602,1,2,India,7836,"D Chahar",38,38,4,2,100,8,"c Shai Hope b Holder",0,0,"2022-02-11 13:30:00"
38602,1,2,India,8292,"Kuldeep Yadav",5,8,0,0,62.5,9,"c Shai Hope b Holder",0,0,"2022-02-11 13:30:00"
38602,1,2,India,10808,Siraj,4,6,1,0,66.67,10,"b Holder",0,0,"2022-02-11 13:30:00"
38602,1,2,India,10551,Prasidh,0,0,0,0,0,11,"not out",0,0,"2022-02-11 13:30:00"
38602,2,10,"West Indies",10384,"Shai Hope",5,9,1,0,55.56,1,"lbw b Siraj",0,1,"2022-02-11 13:30:00"
38602,2,10,"West Indies",9791,"Brandon King",14,13,2,0,107.69,2,"c Suryakumar Yadav b D Chahar",0,0,"2022-02-11 13:30:00"
38602,2,10,"West Indies",1610,"Darren Bravo",19,30,3,0,63.33,3,"c Kohli b Prasidh",0,0,"2022-02-11 13:30:00"
38602,2,10,"West Indies",11446,"Shamarh Brooks",0,3,0,0,0,4,"c Shreyas Iyer b D Chahar",0,0,"2022-02-11 13:30:00"
38602,2,10,"West Indies",9406,"Nicholas Pooran",34,39,2,1,87.18,5,"c Rohit b Kuldeep Yadav",1,0,"2022-02-11 13:30:00"
38602,2,10,"West Indies",8313,"Jason Holder",6,12,1,0,50,6,"c Rohit b Prasidh",0,0,"2022-02-11 13:30:00"
38602,2,10,"West Indies",9785,"Fabian Allen",0,1,0,0,0,7,"c Pant b Kuldeep Yadav",0,0,"2022-02-11 13:30:00"
38602,2,10,"West Indies",11220,"Alzarri Joseph",29,56,1,2,51.79,8,"c Kohli b Prasidh",0,0,"2022-02-11 13:30:00"
38602,2,10,"West Indies",11215,"Odean Smith",36,18,3,3,200,9,"c Dhawan b Siraj",0,0,"2022-02-11 13:30:00"
38602,2,10,"West Indies",13959,"Hayden Walsh",13,38,1,0,34.21,10,"c Rohit b Siraj",0,0,"2022-02-11 13:30:00"
38602,2,10,"West Indies",1359,"Kemar Roach",0,4,0,0,0,11,"not out",0,0,"2022-02-11 13:30:00"
38607,1,10,"West Indies",9791,"Brandon King",4,5,1,0,80,1,"c Suryakumar Yadav b Bhuvneshwar",0,0,"2022-02-16 19:00:00"
38607,1,10,"West Indies",8440,"K Mayers",31,24,7,0,129.17,2,"lbw b Chahal",0,0,"2022-02-16 19:00:00"
38607,1,10,"West Indies",9406,Pooran,61,43,4,5,141.86,3,"c Kohli b Harshal Patel",0,1,"2022-02-16 19:00:00"
38607,1,10,"West Indies",11543,"Roston Chase",4,10,0,0,40,4,"lbw b Ravi Bishnoi",0,0,"2022-02-16 19:00:00"
38607,1,10,"West Indies",11445,"Rovman Powell",2,3,0,0,66.67,5,"c Venkatesh Iyer b Ravi Bishnoi",0,0,"2022-02-16 19:00:00"
38607,1,10,"West Indies",8435,"Akeal Hosein",10,12,0,1,83.33,6,"c and b D Chahar",0,0,"2022-02-16 19:00:00"
38607,1,10,"West Indies",657,Pollard,24,19,2,1,126.32,7,"not out",1,0,"2022-02-16 19:00:00"
38607,1,10,"West Indies",11215,"Odean Smith",4,4,0,0,100,8,"c Rohit b Harshal Patel",0,0,"2022-02-16 19:00:00"
38607,1,10,"West Indies",13646,"Romario Shepherd",0,0,0,0,0,9,,0,0,"2022-02-16 19:00:00"
38607,1,10,"West Indies",9785,"Fabian Allen",0,0,0,0,0,10,,0,0,"2022-02-16 19:00:00"
38607,1,10,"West Indies",9395,Cottrell,0,0,0,0,0,11,,0,0,"2022-02-16 19:00:00"
38607,2,2,India,576,"Rohit Sharma",40,19,4,3,210.53,1,"c Odean Smith b Roston Chase",1,0,"2022-02-16 19:00:00"
38607,2,2,India,10276,"Ishan Kishan",35,42,4,0,83.33,2,"c Fabian Allen b Roston Chase",0,0,"2022-02-16 19:00:00"
38607,2,2,India,1413,"Virat Kohli",17,13,1,0,130.77,3,"c Pollard b Fabian Allen",0,0,"2022-02-16 19:00:00"
38607,2,2,India,10744,"Rishabh Pant",8,8,0,0,100,4,"c Odean Smith b Cottrell",0,1,"2022-02-16 19:00:00"
38607,2,2,India,7915,"Suryakumar Yadav",34,18,5,1,188.89,5,"not out",0,0,"2022-02-16 19:00:00"
38607,2,2,India,10917,"Venkatesh Iyer",24,13,2,1,184.62,6,"not out",0,0,"2022-02-16 19:00:00"
38607,2,2,India,7836,"Deepak Chahar",0,0,0,0,0,7,,0,0,"2022-02-16 19:00:00"
38607,2,2,India,1726,"Bhuvneshwar Kumar",0,0,0,0,0,8,,0,0,"2022-02-16 19:00:00"
38607,2,2,India,8175,"Harshal Patel",0,0,0,0,0,9,,0,0,"2022-02-16 19:00:00"
38607,2,2,India,14659,"Ravi Bishnoi",0,0,0,0,0,10,,0,0,"2022-02-16 19:00:00"
38607,2,2,India,7910,"Yuzvendra Chahal",0,0,0,0,0,11,,0,0,"2022-02-16 19:00:00"
38612,1,2,India,576,Rohit,19,18,2,1,105.56,1,"c Brandon King b Roston Chase",1,0,"2022-02-18 19:00:00"
38612,1,2,India,10276,"Ishan Kishan",2,10,0,0,20,2,"c K Mayers b Cottrell",0,0,"2022-02-18 19:00:00"
38612,1,2,India,1413,Kohli,52,41,7,1,126.83,3,"b Roston Chase",0,0,"2022-02-18 19:00:00"
38612,1,2,India,7915,"Suryakumar Yadav",8,6,1,0,133.33,4,"c and b Roston Chase",0,0,"2022-02-18 19:00:00"
38612,1,2,India,10744,Pant,52,28,7,1,185.71,5,"not out",0,1,"2022-02-18 19:00:00"
38612,1,2,India,10917,"Venkatesh Iyer",33,18,4,1,183.33,6,"b Romario Shepherd",0,0,"2022-02-18 19:00:00"
38612,1,2,India,8175,"Harshal Patel",1,1,0,0,100,7,"not out",0,0,"2022-02-18 19:00:00"
38612,1,2,India,7836,"D Chahar",0,0,0,0,0,8,,0,0,"2022-02-18 19:00:00"
38612,1,2,India,1726,Bhuvneshwar,0,0,0,0,0,9,,0,0,"2022-02-18 19:00:00"
38612,1,2,India,7910,Chahal,0,0,0,0,0,10,,0,0,"2022-02-18 19:00:00"
38612,1,2,India,14659,"Ravi Bishnoi",0,0,0,0,0,11,,0,0,"2022-02-18 19:00:00"
38612,2,10,"West Indies",9791,"Brandon King",22,30,2,0,73.33,1,"c Suryakumar Yadav b Ravi Bishnoi",0,0,"2022-02-18 19:00:00"
38612,2,10,"West Indies",8440,"Kyle Mayers",9,10,1,0,90,2,"c and b Chahal",0,0,"2022-02-18 19:00:00"
38612,2,10,"West Indies",9406,"Nicholas Pooran",62,41,5,3,151.22,3,"c Ravi Bishnoi b Bhuvneshwar",0,1,"2022-02-18 19:00:00"
38612,2,10,"West Indies",11445,"Rovman Powell",68,36,4,5,188.89,4,"not out",0,0,"2022-02-18 19:00:00"
38612,2,10,"West Indies",657,"Kieron Pollard",3,3,0,0,100,5,"not out",1,0,"2022-02-18 19:00:00"
38612,2,10,"West Indies",8313,"Jason Holder",0,0,0,0,0,6,,0,0,"2022-02-18 19:00:00"
38612,2,10,"West Indies",11215,"Odean Smith",0,0,0,0,0,7,,0,0,"2022-02-18 19:00:00"
38612,2,10,"West Indies",11543,"Roston Chase",0,0,0,0,0,8,,0,0,"2022-02-18 19:00:00"
38612,2,10,"West Indies",8435,"Akeal Hosein",0,0,0,0,0,9,,0,0,"2022-02-18 19:00:00"
38612,2,10,"West Indies",13646,"Romario Shepherd",0,0,0,0,0,10,,0,0,"2022-02-18 19:00:00"
